,addExpiresOrCacheControlHeaders,compressHttp,domainsNumber,dontResizeImageInBrowser,emptySrcTag,externalizeCss,externalizeJs,httpError,httpRequests,jsValidate,maxCookiesLength,minifiedJs,noRedirect,plugins,printStyleSheet,socialNetworkButton,styleSheets,useETags,useStandardTypefaces,viewport,serverResponseTime,mainthreadWorkBreakdown,bootupTime,fontDisplay,thirdPartySummary,thirdPartyFacades,lcpLazyLoaded,longTasks,nonCompositedAnimations,domSize,usesLongCacheTtl,usesResponsiveImages,offscreenImages,unusedCssRules,unusedJavascript,usesOptimizedImages,modernImageFormats,usesTextCompression,usesHttp2,efficientAnimatedContent,legacyJavascript,totalByteWeight,noDocumentWrite,layoutShiftElements,usesPassiveEventListeners
0,0,75,0,100,100,75,100,100,65,0,100,0,75,100,0,100,75,0,0,100,100,80,89,100,100,0,0,0,0,100,7,100,100,88,34,100,100,100,100,100,100,100,100,0,100
1,50,75,0,20,100,0,0,100,20,0,100,35,0,100,0,100,0,0,0,100,100,8,32,0,0,0,100,0,0,57,40,78,82,49,36,100,44,100,100,100,100,100,100,0,0
2,0,35,0,35,100,50,0,100,20,0,100,0,0,100,0,100,35,0,0,0,100,100,100,100,0,0,0,0,0,100,64,100,100,100,100,100,79,100,100,100,100,100,100,0,100
3,0,0,100,100,100,75,100,100,100,100,100,0,75,100,0,100,100,100,100,100,0,13,36,0,0,0,0,0,0,100,34,100,100,88,40,100,88,50,100,70,100,100,0,0,100
4,75,75,0,20,100,75,0,100,35,0,100,100,0,100,100,100,75,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,50,75,0,0,100,0,0,100,20,0,100,0,75,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,75,75,0,0,100,0,0,50,35,0,100,0,35,100,0,100,65,0,100,100,100,50,80,100,0,0,0,0,0,86,27,100,45,93,42,100,100,100,100,100,100,100,100,0,100
7,0,75,20,100,100,100,0,100,75,0,100,0,35,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,100,75,65,0,100,0,0,100,35,0,100,0,75,100,0,100,0,75,0,100,100,50,73,0,0,0,0,0,0,100,42,87,56,85,35,100,46,100,100,100,100,100,100,0,100
9,100,75,35,100,100,75,20,100,100,0,100,100,75,100,0,100,100,75,100,100,100,100,100,100,100,0,0,0,0,100,100,100,100,100,58,100,100,100,100,100,100,100,100,0,100
10,100,75,75,100,100,100,50,100,100,0,100,100,100,100,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,75,75,0,20,100,0,0,100,35,0,100,0,0,100,0,100,0,0,0,100,100,100,98,100,100,0,0,0,0,100,100,100,100,100,45,100,100,100,100,100,100,100,100,0,100
12,20,75,0,0,100,50,0,50,0,50,100,100,0,100,0,100,0,0,0,100,100,13,36,100,100,0,100,0,0,53,18,65,100,100,34,100,100,87,100,100,87,98,0,0,100
13,75,75,0,35,100,0,0,100,20,0,100,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,50,0,0,100,0,0,50,20,0,100,0,75,100,0,100,20,0,0,100,100,75,91,100,100,0,0,0,0,100,98,100,100,48,50,100,88,100,100,100,88,100,100,0,100
15,20,75,50,0,100,75,0,100,35,0,100,0,35,100,0,100,75,100,0,100,100,100,98,100,100,0,0,0,0,100,100,100,100,100,43,100,100,100,100,100,100,100,100,0,100
16,75,75,35,100,100,75,0,100,75,0,100,0,35,100,0,100,65,0,100,0,100,97,100,100,100,0,100,0,0,96,0,59,100,100,89,75,0,100,36,100,100,93,100,0,100
17,75,75,0,0,0,0,0,100,20,0,100,0,0,100,0,100,0,50,0,100,100,13,48,0,0,0,100,0,0,99,1,100,100,66,0,56,0,100,87,100,100,28,0,0,100
18,100,75,75,100,100,100,50,100,100,0,100,100,100,100,0,100,100,100,100,100,100,99,98,100,100,0,100,0,0,100,66,100,100,100,67,100,64,100,74,100,100,100,0,0,100
19,0,75,0,0,100,0,50,50,65,0,100,35,75,100,0,100,65,75,100,100,100,100,98,100,0,0,0,0,0,100,100,100,100,100,45,100,100,100,100,100,100,100,100,0,100
20,100,0,35,100,100,100,20,100,75,0,100,0,75,100,0,100,75,0,0,100,100,28,59,100,0,0,100,0,0,100,25,88,100,67,27,100,100,100,100,100,100,100,0,0,100
21,0,75,0,35,100,0,0,50,35,0,100,0,35,100,0,100,35,0,100,100,100,79,99,0,100,0,0,0,0,96,100,100,100,46,48,100,100,100,100,100,88,100,100,0,100
22,0,75,20,100,100,75,75,100,75,0,100,100,75,100,0,100,100,0,50,100,100,13,73,0,100,0,100,0,0,13,1,100,73,45,36,87,38,100,100,100,87,91,100,0,0
