,addExpiresOrCacheControlHeaders,compressHttp,domainsNumber,dontResizeImageInBrowser,emptySrcTag,externalizeCss,externalizeJs,httpError,httpRequests,jsValidate,maxCookiesLength,minifiedJs,noRedirect,plugins,printStyleSheet,socialNetworkButton,styleSheets,useETags,useStandardTypefaces,viewport,serverResponseTime,mainthreadWorkBreakdown,bootupTime,fontDisplay,thirdPartySummary,thirdPartyFacades,lcpLazyLoaded,longTasks,nonCompositedAnimations,domSize,usesLongCacheTtl,usesResponsiveImages,offscreenImages,unusedCssRules,unusedJavascript,usesOptimizedImages,modernImageFormats,usesTextCompression,usesHttp2,efficientAnimatedContent,legacyJavascript,totalByteWeight,noDocumentWrite,layoutShiftElements,usesPassiveEventListeners,classe_nbRequest,classe_responsesSize,classe_domSize,classe_largestContentfulPaint,classe_cumulativeLayoutShift,classe_firstContentfulPaint,classe_speedIndex,classe_totalBlockingTime,classe_interactive,RandomNumber
0,0,75,0,100,100,75,100,100,65,0,100,0,75,100,0,100,75,0,0,100,100,80.0,89.0,100,100,0,0,0,0,100.0,7.000000000000001,100.0,100.0,88.0,34.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,0,100,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,26.0
1,50,75,0,20,100,0,0,100,20,0,100,35,0,100,0,100,0,0,0,100,100,8.0,32.0,0,0,0,100,0,0,56.99999999999999,40.0,78.0,82.0,49.0,36.0,100.0,44.0,100.0,100.0,100.0,100.0,100.0,100,0,0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,73.0
2,0,35,0,35,100,50,0,100,20,0,100,0,0,100,0,100,35,0,0,0,100,100.0,100.0,100,0,0,0,0,0,100.0,64.0,100.0,100.0,100.0,100.0,100.0,79.0,100.0,100.0,100.0,100.0,100.0,100,0,100,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,80.0
3,0,0,100,100,100,75,100,100,100,100,100,0,75,100,0,100,100,100,100,100,0,13.0,36.0,0,0,0,0,0,0,100.0,34.0,100.0,100.0,88.0,40.0,100.0,88.0,50.0,100.0,70.0,100.0,100.0,0,0,100,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,6.0
4,75,75,0,20,100,75,0,100,35,0,100,100,0,100,100,100,75,0,100,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,78.0
5,50,75,0,0,100,0,0,100,20,0,100,0,75,100,0,100,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,68.0
6,75,75,0,0,100,0,0,50,35,0,100,0,35,100,0,100,65,0,100,100,100,50.0,80.0,100,0,0,0,0,0,86.0,27.0,100.0,45.0,93.0,42.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,0,100,2.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,7.0
7,0,75,20,100,100,100,0,100,75,0,100,0,35,100,0,100,100,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,44.0
8,100,75,65,0,100,0,0,100,35,0,100,0,75,100,0,100,0,75,0,100,100,50.0,73.0,0,0,0,0,0,0,100.0,42.0,87.0,56.00000000000001,85.0,35.0,100.0,46.0,100.0,100.0,100.0,100.0,100.0,100,0,100,3.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,91.0
9,100,75,35,100,100,75,20,100,100,0,100,100,75,100,0,100,100,75,100,100,100,100.0,100.0,100,100,0,0,0,0,100.0,100.0,100.0,100.0,100.0,57.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,0,100,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,86.0
